Ticket_ID,Date,Time_HM,Agent,Category,Subcategory,Status,Wait_Time_Sec,Talk_Time_Sec,Hold_Time_Sec,RNA_Accident,CSAT_Score
100000,2025-12-22,00:00,Maria,Activating and Licensing,Key blocked,Escalated (In progress),32,398,273,No,9
100001,2025-12-23,00:00,Alex,Sale,Mistyped email,Solved,30,515,0,No,9
100002,2026-01-15,00:00,Maria,Activating and Licensing,Activating by assigning license,Solved,10,269,428,No,5
100003,2026-02-18,00:00,Anna,Installation or Uninstallation,Error during installation,Solved,20,287,74,No,8
100004,2025-12-21,00:00,Sveta,Sale,How to purchase?,Solved,12,392,43,No,
100005,2026-02-05,00:00,Sveta,Sale,Mistyped email,Escalated (In progress),39,299,110,No,8
100006,2026-01-16,00:00,Maria,Sale,Mistyped email,Solved,32,297,113,No,7
100007,2026-01-28,00:00,Alex,Activating and Licensing,Activating by assigning license,Solved,130,499,440,No,4
100008,2026-02-19,00:00,Elena,Activating and Licensing,Key blocked,Solved,212,285,148,No,
100009,2026-02-02,00:00,Anna,Installation or Uninstallation,Error during installation,Solved,28,401,53,No,
100010,2026-02-10,00:00,Alex,Installation or Uninstallation,How to install?,Escalated (In progress),57,524,281,No,5
100011,2026-01-20,00:00,Anna,Sale,Refund: Other Reason/Unknown,Solved,147,354,0,No,4
100012,2025-12-11,00:00,Elena,Activating and Licensing,Key blocked,Solved,133,266,73,No,9
100013,2026-02-19,00:00,Dmitriy,Sale,How to purchase?,Solved,30,308,141,No,9
100014,2025-12-09,00:00,Igor,Sale,How to purchase?,Solved,23,510,0,No,2
100015,2026-01-08,00:00,Sveta,Installation or Uninstallation,Error during installation,Solved,149,298,122,No,
100016,2026-02-02,00:00,Anna,Sale,How to purchase?,Waiting for user info,137,378,0,No,8
100017,2026-02-12,00:00,Igor,Activating and Licensing,Key blocked,Solved,34,424,127,No,1
100018,2026-01-18,00:00,Elena,Sale,How to purchase?,Solved,16,241,0,No,8
100019,2026-01-06,00:00,Elena,Sale,Refund: Other Reason/Unknown,Solved,28,467,0,No,
100020,2025-12-15,00:00,Sveta,Sale,Refund: Other Reason/Unknown,Waiting for user info,39,339,48,No,
100021,2026-02-20,00:00,Elena,Installation or Uninstallation,Error during installation,Solved,53,401,568,No,6
100022,2025-12-25,00:00,Alex,Activating and Licensing,Activating by assigning license,Solved,88,473,84,No,2
100023,2026-01-19,00:00,Dmitriy,Activating and Licensing,Key blocked,Escalated (In progress),37,314,112,No,9
100024,2026-01-20,00:00,Anna,Activating and Licensing,Activating by assigning license,Solved,11,312,571,No,
100025,2026-01-20,00:00,Anna,Activating and Licensing,Key blocked,Waiting for user info,30,326,118,No,
100026,2025-12-16,00:00,Elena,Sale,How to purchase?,Solved,164,351,0,No,9
100027,2026-02-16,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Waiting for user info,133,179,288,No,
100028,2025-12-02,00:00,Igor,Activating and Licensing,Key blocked,Solved,17,495,75,No,3
100029,2026-01-16,00:00,Elena,Activating and Licensing,Key blocked,Solved,110,408,70,No,7
100030,2025-12-25,00:00,Elena,General / Other,Non support (Prank/Drop),Escalated (In progress),27,316,586,No,8
100031,2025-12-05,00:00,Elena,Activating and Licensing,Activating by assigning license,Solved,218,367,125,No,7
100032,2025-12-24,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Solved,24,130,61,No,
100033,2026-01-13,00:00,Anna,Activating and Licensing,Key blocked,Solved,31,228,40,No,7
100034,2026-02-04,00:00,Igor,Activating and Licensing,Key blocked,Solved,26,375,38,No,3
100035,2026-01-16,00:00,Alex,Installation or Uninstallation,How to install?,Waiting for user info,67,448,428,Yes,4
100036,2025-12-31,00:00,Maria,Installation or Uninstallation,Error during installation,Escalated (In progress),224,369,438,No,9
100037,2025-12-13,00:00,Dmitriy,General / Other,Not category,Solved,137,193,47,No,
100038,2025-12-10,00:00,Elena,Installation or Uninstallation,Error during installation,Solved,21,343,126,No,6
100039,2026-02-09,00:00,Alex,Installation or Uninstallation,Error during installation,Solved,7,597,110,No,6
100040,2026-02-10,00:00,Igor,Installation or Uninstallation,Error during installation,Solved,96,396,75,No,
100041,2026-01-13,00:00,Elena,Activating and Licensing,Activating by assigning license,Solved,13,377,125,No,7
100042,2026-02-16,00:00,Alex,Activating and Licensing,Key blocked,Solved,65,508,149,No,
100043,2025-12-03,00:00,Igor,Activating and Licensing,Key blocked,Waiting for user info,73,461,110,No,5
100044,2026-01-29,00:00,Igor,Activating and Licensing,Key blocked,Solved,12,466,32,No,3
100045,2025-12-01,00:00,Sveta,Sale,Mistyped email,Waiting for user info,51,291,62,No,5
100046,2026-02-03,00:00,Alex,Sale,Refund: Other Reason/Unknown,Waiting for user info,16,470,65,No,
100047,2026-02-05,00:00,Anna,Activating and Licensing,Key blocked,Solved,9,255,576,No,8
100048,2026-02-02,00:00,Igor,Activating and Licensing,Key blocked,Escalated (In progress),82,447,128,No,
100049,2026-02-04,00:00,Maria,Installation or Uninstallation,Error during installation,Escalated (In progress),98,328,585,No,1
100050,2026-01-18,00:00,Anna,Activating and Licensing,Activating by assigning license,Solved,40,305,117,No,7
100051,2026-02-06,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Solved,32,280,114,No,
100052,2026-02-09,00:00,Dmitriy,Activating and Licensing,Activating by assigning license,Solved,44,264,265,No,
100053,2026-01-29,00:00,Maria,Installation or Uninstallation,Error during installation,Waiting for user info,34,306,568,No,8
100054,2026-01-19,00:00,Sveta,Activating and Licensing,Key blocked,Solved,38,344,65,No,1
100055,2025-12-03,00:00,Maria,Sale,How to purchase?,Escalated (In progress),34,266,125,No,4
100056,2025-12-24,00:00,Igor,Activating and Licensing,Key blocked,Solved,223,402,43,No,3
100057,2026-01-09,00:00,Maria,Sale,Mistyped email,Solved,24,344,0,No,3
100058,2025-12-21,00:00,Anna,Installation or Uninstallation,Error during installation,Waiting for user info,17,369,55,No,1
100059,2025-12-24,00:00,Maria,Installation or Uninstallation,Error during installation,Solved,28,291,98,No,7
100060,2025-12-27,00:00,Sveta,Sale,Mistyped email,Solved,30,353,146,No,9
100061,2026-01-22,00:00,Maria,Sale,How to purchase?,Solved,146,386,0,No,
100062,2026-02-02,00:00,Igor,Installation or Uninstallation,How to install?,Solved,96,504,37,No,3
100063,2025-12-03,00:00,Dmitriy,Sale,How to purchase?,Solved,15,237,51,No,9
100064,2026-01-02,00:00,Maria,Activating and Licensing,Activating by assigning license,Escalated (In progress),31,306,62,No,8
100065,2026-01-01,00:00,Alex,Sale,Refund: Other Reason/Unknown,Solved,16,518,59,No,7
100066,2026-02-10,00:00,Dmitriy,Sale,How to purchase?,Solved,91,241,75,No,9
100067,2026-01-29,00:00,Alex,Sale,How to purchase?,Solved,22,446,0,No,5
100068,2026-02-18,00:00,Sveta,Installation or Uninstallation,Error during installation,Waiting for user info,161,404,578,No,8
100069,2026-01-06,00:00,Anna,Activating and Licensing,Activating by assigning license,Solved,6,284,32,No,7
100070,2026-01-01,00:00,Dmitriy,Sale,Mistyped email,Waiting for user info,16,242,0,No,7
100071,2026-02-24,00:00,Alex,Activating and Licensing,Key blocked,Solved,28,399,561,No,9
100072,2025-12-06,00:00,Igor,Activating and Licensing,Key blocked,Solved,25,573,585,No,2
100073,2026-02-16,00:00,Maria,Sale,How to purchase?,Waiting for user info,198,393,91,No,6
100074,2026-02-16,00:00,Alex,Sale,Mistyped email,Solved,14,439,0,No,2
100075,2026-01-21,00:00,Sveta,Sale,How to purchase?,Escalated (In progress),243,268,272,No,8
100076,2026-01-24,00:00,Alex,Activating and Licensing,Key blocked,Solved,150,495,75,No,4
100077,2026-02-17,00:00,Alex,Sale,How to purchase?,Solved,21,448,131,No,5
100078,2026-01-21,00:00,Maria,Sale,Mistyped email,Escalated (In progress),114,299,148,No,5
100079,2025-12-15,00:00,Igor,Sale,Mistyped email,Solved,34,501,0,No,4
100080,2026-02-18,00:00,Igor,Sale,Refund: Other Reason/Unknown,Escalated (In progress),162,446,62,No,5
100081,2025-12-04,00:00,Igor,Activating and Licensing,Key blocked,Waiting for user info,17,488,51,No,2
100082,2025-12-30,00:00,Sveta,Sale,Mistyped email,Escalated (In progress),40,301,119,No,8
100083,2025-12-06,00:00,Alex,Activating and Licensing,Key blocked,Solved,55,479,111,No,5
100084,2026-01-28,00:00,Dmitriy,Sale,Mistyped email,Solved,31,299,33,No,9
100085,2026-02-20,00:00,Elena,Activating and Licensing,Key blocked,Solved,139,399,128,No,
100086,2025-12-31,00:00,Sveta,General / Other,Non support (Prank/Drop),Solved,14,347,0,No,8
100087,2025-12-03,00:00,Maria,Activating and Licensing,Activating by assigning license,Escalated (In progress),22,315,269,No,9
100088,2026-02-23,00:00,Maria,Sale,How to purchase?,Solved,255,385,0,No,8
100089,2026-02-15,00:00,Igor,Installation or Uninstallation,Error during installation,Solved,47,514,131,No,4
100090,2026-01-28,00:00,Maria,Installation or Uninstallation,How to install?,Solved,9,395,274,No,1
